timestamp,pid,rss_kb,rss_mb
1769081859.211150000,81285,32,.03
1769081860.339585000,81285,32,.03
1769081861.452059000,81285,64032,62.53
1769081862.566525000,81285,72320,70.62
1769081863.679989000,81285,72912,71.20
1769081864.796015000,81285,73072,71.35
1769081865.912150000,81285,73088,71.37
1769081867.042072000,81285,73088,71.37
1769081868.161594000,81285,73088,71.37
1769081869.274020000,81285,73424,71.70
1769081870.386945000,81285,73424,71.70
1769081871.509496000,81285,73424,71.70
1769081872.624950000,81285,73424,71.70
1769081873.746883000,81285,73440,71.71
1769081874.869998000,81285,73456,71.73
1769081875.985363000,81285,73488,71.76
1769081877.102824000,81285,73488,71.76
1769081878.334115000,81285,73488,71.76
1769081879.464865000,81285,73488,71.76
1769081880.588888000,81285,73504,71.78
1769081881.698244000,81285,73504,71.78
1769081882.825019000,81285,73504,71.78
1769081883.941136000,81285,73504,71.78
1769081885.052126000,81285,73504,71.78
1769081886.164148000,81285,73504,71.78
1769081887.279097000,81285,73504,71.78
1769081888.390607000,81285,73504,71.78
1769081889.504777000,81285,72112,70.42
1769081890.636823000,81285,71216,69.54
1769081891.764246000,81285,70864,69.20
1769081892.881211000,81285,71152,69.48
1769081894.005568000,81285,71152,69.48
1769081895.123745000,81285,71248,69.57
1769081896.239417000,81285,71248,69.57
1769081897.354352000,81285,71264,69.59
1769081898.481919000,81285,71296,69.62
1769081899.595947000,81285,71360,69.68
1769081900.709727000,81285,71440,69.76
1769081901.842538000,81285,71440,69.76
